Industry_Sector,Round,Investor_Equity_Total,Age,Round_Equity_Total,Company_Status,Investment_Date,Num_Investors,Disclosed_Equity_Contribution,Location,Duration
Technology,2,183000000,12,,Went Public,2018-12-31,2,483000000,Georgia,1099
Healthcare,3,413550000,100,,Went Public,2018-05-10,5,468700000,California,775
Technology,3,35000000,21,1103000000,Active,2020-10-07,3,461999800,California,446
Healthcare,7,12910000,44,,Went Public,2016-09-14,8,445589700,Utah,1723
Healthcare,1,440000000,35,,Active,2020-11-25,1,440000000,California,131
Healthcare,5,66000000,38,,Active,2018-02-22,7,464553100,New York,1455
Healthcare,4,0,35,,Went Public,2018-01-09,7,442199900,California,1256
Technology,4,2364000,5,1400000000,Active,2018-06-11,5,427787100,New York,1339
Healthcare,2,300000000,32,,Acquisition,2018-05-21,8,2128063000,California,1346
Consumer Non-Cyclicals,2,50000000,23,1875000000,Active,2017-10-06,2,425000000,California,396
Technology,4,22000000,25,1741916000,Active,2019-04-17,4,411084200,New York,651
Healthcare,2,160000000,36,,In Registration,2021-03-03,2,409999600,Pennsylvania,299
Healthcare,4,15000000,30,,Active,2019-06-18,4,401300000,California,685
Industrials,9,0,27,,Active,2016-04-09,13,484905700,California,1152
Healthcare,1,400000000,36,,Went Public,2018-12-20,3,519999800,Massachusetts,897
Energy,1,400000000,12,,Active,2020-01-07,1,400000000,Texas,385
Healthcare,1,400000000,33,,Active,2021-10-07,1,400000500,Massachusetts,41
Technology,1,400000000,0,7600000000,Active,2022-01-26,1,399999600,California,2
Consumer Cyclicals,8,7604400,0,999999900,Went Public,2019-02-13,10,745604900,California,723
Healthcare,2,66000000,27,,Went Public,2018-06-29,4,401140000,California,279
Technology,2,141600000,18,2250000000,Active,2019-04-01,4,1126199400,California,683
Technology,4,12000000,14,2331285000,Active,2018-02-22,6,1050910700,California,1178
Healthcare,5,191000000,19,,Active,2019-02-28,5,384385900,California,1061
Technology,4,65000000,41,,Active,2017-06-07,5,383299900,New York,1512
Healthcare,3,150000000,21,,Went Public,2017-10-03,3,379699900,Massachusetts,1427
Technology,3,73589000,16,1097000000,Active,2019-02-27,4,427724600,North Carolina,1066
Technology,4,0,18,875000000,Active,2018-06-19,6,1099999600,California,1228
Healthcare,4,21000000,0,,Active,2017-07-10,5,367000000,California,4
Healthcare,2,110000000,5,,Acquisition,2019-05-30,2,366999500,Massachusetts,431
Technology,4,6000000,0,1750000000,Active,2020-02-25,5,365998900,Florida,1
Technology,4,98210000,12,,Active,2021-08-11,5,364290400,Texas,177
Consumer Non-Cyclicals,4,90000000,0,,Active,2019-02-26,4,363635200,Massachusetts,941
Industrials,4,150000000,41,2300000000,Active,2021-06-09,4,362107000,Massachusetts,233
Technology,1,350000000,0,,Active,2015-11-26,4,570000000,New Jersey,1905
Healthcare,2,130000000,34,,Went Public,2016-08-26,2,347000000,California,1783
Healthcare,2,120000000,76,,Active,2020-04-23,2,345999800,Massachusetts,392
Technology,3,2450000,4,350000000,Pending Acquisition,2015-05-07,3,342449800,California,1001
Technology,3,65000000,30,1340209000,Went Public,2018-03-19,8,432404300,Massachusetts,1143
Healthcare,1,335499000,16,,Went Public,2021-04-19,3,465498800,Massachusetts,231
Real Estate,3,225000000,13,,Active,2018-10-25,5,705001300,New York,1056
Industrials,2,3000000,0,,Active,2021-03-27,2,328000000,New York,74
Healthcare,2,250000000,26,,Went Public,2018-02-15,2,327699000,New Jersey,1252
Healthcare,2,250000000,3,,Went Public,2018-02-28,2,325000100,Maryland,17
Financials,2,300000000,18,,Active,2021-07-14,2,325000200,Florida,2
Healthcare,4,42500000,0,,Went Public,2018-05-14,5,320500000,Massachusetts,57
Healthcare,4,41841000,0,,Went Public,2019-08-20,5,320086000,Maryland,881
Technology,3,80000000,55,,Active,2014-07-07,5,361970100,California,875
Technology,3,40025000,19,1340000000,Active,2020-09-11,4,333766100,California,481
Technology,4,10000000,12,1575000000,Active,2018-02-28,5,519999900,California,128
Healthcare,2,115000000,27,1000000000,Active,2021-06-14,2,314999800,Massachusetts,144
Technology,5,17546000,12,790000000,Went Public,2015-02-26,10,1773656300,California,2478
Consumer Non-Cyclicals,3,240000000,37,,Went Public,2019-01-18,5,433916300,California,762
Technology,2,260000000,25,,Acquisition,2017-01-27,3,310000000,Arizona,777
Healthcare,5,133712000,12,,Went Public,2014-08-06,6,307145000,Washington,845
Industrials,4,114443000,0,585557000,Went Public,2017-10-06,7,429688400,New York,683
Financials,4,11000000,15,,Active,2018-08-09,4,300999900,D. of Columbia,323
Healthcare,4,200000000,26,,Went Public,2020-04-27,5,300840600,California,582
Technology,1,300000000,0,,Active,2017-07-07,1,300000000,California,36
Technology,2,50000000,8,1750000000,Active,2021-09-20,2,300000000,California,46
Technology,1,300000000,40,,Active,2021-04-23,1,300000000,Montana,5
Technology,4,3100000,0,415000000,Active,2017-10-31,6,949610700,New York,323
Healthcare,4,219357000,0,,Pending Acquisition,2016-06-14,5,299215000,Maryland,1788
Healthcare,4,270000000,0,,Went Public,2017-10-06,4,296060000,Pennsylvania,175
Healthcare,3,20000000,17,,Active,2020-05-14,3,295000100,New York,537
Technology,5,10000000,15,1120000000,Active,2015-03-24,6,553000100,California,1457
Technology,4,20800000,12,848650000,Active,2018-01-04,6,873792700,New York,1253
Healthcare,3,37545000,35,,Active,2020-11-12,3,287919500,California,460
Technology,3,70000000,36,1150000000,Active,2020-10-09,3,287389600,California,495
Healthcare,3,60000000,13,,Active,2019-01-30,3,287096800,Massachusetts,898
Healthcare,4,30000000,45,,Went Public,2018-09-27,5,290000200,Massachusetts,545
Industrials,2,83000000,32,,Active,2021-01-27,2,283000000,Utah,306
Healthcare,3,30500000,40,,Went Public,2018-04-03,4,282620400,California,815
Technology,2,50000000,0,,Active,2017-10-06,3,730000000,California,7
Healthcare,2,230000000,0,,Active,2021-01-12,2,280000000,Massachusetts,248
Technology,5,233961000,64,,Active,2020-09-24,6,282593000,New York,1
Financials,4,17000000,28,625000000,Active,2020-05-13,4,277000200,California,586
Industrials,4,55000000,35,1500000000,Active,2020-11-19,5,277991200,Texas,400
Consumer Cyclicals,3,20000000,0,,Active,2017-05-17,3,270000200,New York,453
Healthcare,2,70000000,4,,Active,2021-05-05,2,270000000,California,251
Technology,5,28454000,23,1100000000,Active,2019-11-20,5,269454500,California,726
Healthcare,4,0,13,,Went Public,2018-03-15,4,267000000,Massachusetts,1282
Consumer Non-Cyclicals,2,97000000,9,,Active,2021-09-20,2,267000000,California,50
Healthcare,3,111000000,44,1889000000,Active,2018-08-30,6,1011000000,Illinois,1100
Technology,6,2150000,16,1890000000,Active,2019-05-13,6,260225200,California,780
Healthcare,4,0,7,,Active,2020-10-14,4,258530700,California,309
Healthcare,5,44000000,65,,Went Public,2016-06-15,5,258199700,California,24
Technology,2,58000000,34,,Active,2021-04-15,5,305486600,California,306
Technology,4,62000000,31,822676000,Active,2017-07-25,5,560074200,Washington,1403
Healthcare,4,16775000,15,,Active,2020-05-06,5,266775500,Massachusetts,370
Industrials,1,253000000,0,,Active,2021-02-16,1,252999900,Massachusetts,2
Healthcare,4,12000000,34,,Went Public,2013-01-09,6,275712000,Massachusetts,1879
Technology,4,45000000,22,1980260000,Active,2015-10-27,5,282000000,Illinois,770
Healthcare,1,0,0,,Active,2019-02-27,1,250999000,Massachusetts,105
Healthcare,2,0,50,,Acquisition,2015-01-23,3,273527000,California,242
Healthcare,1,250000000,2,,Went Public,2021-02-16,1,250000500,Massachusetts,225
Healthcare,2,0,11,,Active,2020-12-15,2,250000300,California,380
Industrials,5,0,25,,Active,2020-06-11,6,258642800,Texas,499
Consumer Cyclicals,5,13100000,0,,LBO,2014-10-08,7,348263500,New York,378
Technology,3,35000000,23,1050000000,Active,2021-01-18,3,247000000,Utah,374
Technology,4,10500000,24,,Acquisition,2018-05-04,6,410500000,Utah,978
Energy,1,245000000,0,,Active,2021-10-01,1,245000000,Texas,0
Technology,2,43400000,22,800000000,Active,2021-01-05,3,254400000,New York,302
Healthcare,2,135000000,0,,Active,2020-07-22,3,239000200,California,366
Healthcare,3,25000000,24,,Went Public,2018-01-04,3,236843000,Massachusetts,55
Healthcare,3,10000000,14,,Went Public,2018-09-18,4,239549900,Pennsylvania,988
Healthcare,5,6000000,0,,Went Public,2019-09-13,6,235497600,Massachusetts,623
Healthcare,3,75000000,48,,Active,2015-12-25,10,510000000,Maryland,3
Technology,3,100000000,38,1200000000,Active,2021-01-10,3,235000900,Utah,374
Healthcare,3,9750000,8,,Active,2016-08-30,3,233949900,California,1261
Technology,1,233750000,21,,Acquisition,2020-09-24,2,286750400,California,335
Technology,4,12000000,17,,Pending Acquisition,2014-06-16,6,247215800,California,2779
Technology,4,100000000,34,900000000,Went Public,2014-03-25,5,231088000,California,2667
Healthcare,2,15600000,26,,Active,2018-03-15,2,230600100,Massachusetts,1336
Technology,4,14600000,25,847646000,Active,2017-01-25,9,1109953000,California,253
Technology,3,63000000,32,933000000,Active,2017-05-16,5,460999900,New York,762
Healthcare,2,103000000,3,,Went Public,2017-09-25,2,228003200,Connecticut,1421
Technology,2,28000000,0,1250000000,Active,2021-04-20,2,227999200,California,294
Healthcare,1,226798000,33,,Went Public,2018-07-30,3,316798000,California,1134
Healthcare,3,0,31,,Went Public,2015-12-09,3,221200000,Massachusetts,2044
Healthcare,2,70315000,0,,Went Public,2016-01-07,3,220315200,Massachusetts,21
Technology,1,220000000,39,,Active,2016-04-06,3,330000000,California,236
Consumer Non-Cyclicals,2,20000000,0,,Active,2017-07-25,6,759999800,California,0
Technology,3,25000000,11,865000000,Active,2020-12-15,3,219999800,California,1
Consumer Non-Cyclicals,1,219000000,34,931000000,Active,2021-11-29,4,282471900,Florida,71
Technology,3,17500000,25,1350000000,Active,2020-01-28,3,217500000,California,2
Real Estate,3,125800000,20,1374200000,Active,2021-09-14,4,217168700,Ohio,91
Healthcare,4,67000000,4,,Went Public,2016-01-05,5,222433000,Maryland,1263
Technology,4,141104000,22,1358896000,Active,2021-09-17,4,215103400,California,48
Technology,4,25000000,5,490000000,Went Public,2015-05-26,7,921899900,California,1883
Healthcare,2,50000000,0,535000000,Active,2017-08-07,2,214999800,California,2
Technology,2,102000000,20,,Active,2018-07-11,5,1042999500,California,1041
Healthcare,2,85000000,43,,Went Public,2020-07-29,2,211000000,Massachusetts,350
Healthcare,3,35000000,30,,Active,2018-04-19,4,220000200,Pennsylvania,2
Healthcare,3,80000000,0,,Went Public,2018-10-30,3,207703200,California,470
Healthcare,3,91500000,24,,Active,2020-09-10,3,207500000,Massachusetts,489
Technology,6,2100000,2,930000000,Active,2016-03-02,8,236161500,New York,1284
Technology,2,36000000,29,830000000,Active,2021-06-24,2,206000000,Arizona,197
Healthcare,3,60000000,15,,Went Public,2015-04-13,3,205000000,Massachusetts,595
Technology,2,170000000,0,700000000,Active,2022-01-19,2,205000000,California,13
Healthcare,6,14990000,0,,Active,2013-05-13,6,203780100,California,1295
Healthcare,6,37132000,48,,Active,2017-12-22,6,202627900,California,1383
Technology,2,0,14,,Active,2019-03-04,2,200833000,Alabama,1080
Technology,1,200379000,42,1099621000,Active,2019-07-11,8,1015277100,Georgia,882
Healthcare,2,75000000,90,,Went Public,2018-06-20,2,200358700,Massachusetts,1071
Technology,1,200000000,53,,Active,2019-06-27,3,232500200,California,914
Financials,1,200000000,0,,Active,2019-09-19,1,200000000,California,2
Technology,1,200000000,38,1500000000,Active,2022-02-16,1,200000000,California,1
Healthcare,1,200000000,53,,Active,2021-05-26,2,250000100,Delaware,126
Consumer Cyclicals,3,50000000,45,,Went Public,2016-07-12,9,672383100,New York,1206
Industrials,4,7000000,0,225000000,Active,2017-03-15,5,447282900,California,107
Healthcare,3,27013000,21,,Active,2019-10-07,3,196378200,New York,652
Technology,3,11000000,14,850000000,Active,2020-04-22,3,195999800,California,601
Technology,4,5000000,19,,Went Public,2013-08-15,4,195300100,New York,1201
Technology,2,85000000,348,,Went Public,2019-01-04,2,195000200,New York,959
Healthcare,8,10800000,45,,Went Public,2013-10-22,8,194798000,Massachusetts,2822
Healthcare,4,32275000,28,,Went Public,2015-09-17,6,203773500,California,1975
Technology,3,14080000,0,,Active,2020-06-30,3,194390200,California,20
Healthcare,3,85000000,48,,Went Public,2019-01-09,5,231235600,Massachusetts,964
Healthcare,2,50000000,14,,Went Public,2019-05-14,2,193000200,Ohio,57
Healthcare,3,11439000,0,,Went Public,2020-07-13,3,192438600,California,441
Healthcare,1,192000000,54,,Active,2020-06-17,1,191999700,California,379
Industrials,4,100105000,31,,Active,2015-08-25,8,651164200,California,1998
Consumer Cyclicals,4,5000000,20,,Active,2018-10-09,5,190000100,California,1056
Healthcare,2,60000000,29,,Went Public,2020-05-21,2,190000200,California,64
Healthcare,3,82000000,33,,Active,2020-09-17,4,189499600,California,312
Healthcare,1,189000000,13,,Active,2021-03-25,2,189000000,Massachusetts,141
Technology,6,4000000,26,699461000,Active,2020-02-25,6,188743200,California,420
Consumer Cyclicals,4,10000000,0,,Active,2017-11-01,5,188129000,New York,1560
Technology,4,17300000,17,,Went Public,2014-05-23,9,2371699900,California,2582
Consumer Non-Cyclicals,3,0,29,,Active,2018-01-29,6,209089100,California,4
Technology,2,51000000,31,,Active,2019-08-13,3,186000000,California,650
Healthcare,4,10000000,22,,Active,2020-07-07,6,210399600,Georgia,365
Healthcare,3,60000000,277,,Active,2021-01-12,3,185250300,New Jersey,141
Healthcare,4,0,34,,Active,2020-10-22,4,185200000,Massachusetts,473
Technology,4,20000000,0,320000000,Went Public,2013-09-25,10,1512999800,New York,1160
Technology,5,20000000,30,,Active,2016-08-09,8,734999200,California,1928
Healthcare,2,85000000,36,,Active,2021-01-07,2,185000900,New York,1
Technology,1,185000000,36,,Active,2021-01-07,1,185000000,Utah,1
Healthcare,8,5000000,19,,Went Public,2017-02-16,9,183081800,Massachusetts,1565
Healthcare,3,0,10,1025000000,Acquisition,2013-01-07,4,313000000,New York,1095
Healthcare,3,0,9,,Active,2021-04-20,3,183000400,California,263
Technology,3,0,9,,Acquisition,2013-10-14,8,537307000,New York,2424
Technology,3,5200000,14,1350000000,Active,2021-03-02,3,181122000,California,294
Technology,3,500000,0,,Active,2020-06-08,3,180534000,Illinois,178
Healthcare,5,50000000,0,,Active,2016-06-06,5,180507000,Massachusetts,1335
Healthcare,3,37500000,44,,Active,2018-05-16,3,179500200,Massachusetts,1244
Healthcare,4,36000000,39,,Went Public,2018-03-01,4,179465300,Massachusetts,1281
Technology,4,44000000,32,890000000,Active,2018-09-13,7,959639300,Michigan,1152
Healthcare,6,0,4,,Went Public,2015-07-03,6,177032000,California,306
Healthcare,5,9000000,0,,Went Public,2016-11-17,5,176727100,Massachusetts,106
Healthcare,4,30985000,34,,Active,2018-05-16,5,182900600,Massachusetts,1021
Technology,3,11500000,20,1125000000,Active,2018-09-12,4,351500200,California,777
Technology,4,3800000,13,,Active,2019-01-31,4,176300100,California,2
Healthcare,3,23233000,0,,Active,2020-03-11,3,175217500,California,504
Healthcare,3,5000000,42,,Active,2019-05-08,4,229707900,Massachusetts,841
Healthcare,2,22000000,13,,Went Public,2019-07-17,2,174000100,Massachusetts,889
Consumer Non-Cyclicals,2,129596000,45,,Went Public,2016-10-11,5,892595100,California,1696
Consumer Cyclicals,4,28000000,0,,Active,2018-08-08,4,173000200,Virginia,1031
Healthcare,2,121495000,0,,Active,2021-07-13,2,172990000,California,2
Technology,2,72600000,13,,Active,2021-03-03,2,172600000,Texas,295
Financials,3,12000000,5,,Active,2018-05-24,4,417000100,Massachusetts,1343
Healthcare,1,172000000,42,,Active,2021-07-15,4,183498600,Missouri,211
Technology,2,159000000,31,,Active,2017-07-07,3,170999700,California,1519
Industrials,3,71000000,45,,Active,2019-10-15,4,171000100,California,831
Healthcare,4,30360000,33,,Active,2020-09-24,5,226760000,Massachusetts,253
Technology,4,20000000,22,,Active,2018-11-15,4,170353000,Arizona,4
Real Estate,6,10000000,12,,Active,2018-07-16,7,369999700,California,1264
Technology,4,4000000,14,624315000,Active,2018-03-09,5,169685100,Massachusetts,710
Technology,3,14000000,0,,Active,2020-06-30,13,169276000,Colorado,238
Healthcare,3,4100000,39,,In Registration,2016-08-23,7,170933600,Massachusetts,1708
Healthcare,4,13000000,23,,Active,2018-12-11,6,167673800,Pennsylvania,757
Healthcare,5,49543000,38,,Went Public,2016-01-08,6,167180100,California,1862
Healthcare,7,8000000,29,,Went Public,2016-07-08,8,167132900,Massachusetts,143
Technology,2,2000000,0,,Active,2018-10-08,2,166999800,New York,2
Healthcare,2,65000000,18,,Went Public,2018-11-13,3,196999600,Massachusetts,918
Financials,1,166500000,56,,Active,2021-09-14,1,166500000,New York,17
Healthcare,3,57300000,26,,Went Public,2021-03-09,3,165300100,California,339
Technology,2,100000000,43,385000000,Active,2018-02-22,3,165000100,California,0
Healthcare,2,65000000,41,,Active,2020-05-21,3,209999500,Massachusetts,635
Consumer Cyclicals,1,165000000,0,,Active,2019-10-21,1,165000000,Massachusetts,26
Technology,1,165000000,48,,Active,2021-01-05,4,244747000,California,224
Consumer Cyclicals,7,75000000,0,,Acquisition,2015-07-11,7,164682500,California,1507
Healthcare,3,49500000,35,,Active,2017-12-06,3,164500000,Massachusetts,1483
Healthcare,6,28312000,32,,Went Public,2016-09-23,7,164011400,Massachusetts,1378
Technology,2,37000000,35,963000000,Active,2021-01-18,3,264000100,California,375
Healthcare,5,50450000,38,,Went Public,2017-07-11,6,164533000,Massachusetts,1464
Basic Materials,3,100000000,43,,Active,2016-07-22,9,1151499900,Massachusetts,1818
Consumer Cyclicals,4,50815000,2,,Active,2017-03-31,6,487096200,D. of Columbia,651
Technology,4,16070000,0,,Active,2020-10-07,4,163070600,Delaware,461
Financials,3,20000000,31,875000000,Active,2020-07-23,3,162999600,California,424
Healthcare,2,107999000,32,,Active,2021-09-01,2,162999100,California,28
Energy,3,4500000,0,,Active,2019-05-03,3,162518800,Colorado,295
Healthcare,2,62148000,37,,Went Public,2018-07-16,5,212148600,California,1164
Financials,4,20000000,28,664000000,Active,2020-05-14,6,162090100,Texas,522
Technology,3,1347500,0,1290467500,Active,2019-03-21,3,161963900,New Jersey,811
Industrials,2,28563000,27,,Active,2018-03-27,5,1311505000,California,1205
Consumer Cyclicals,3,32000000,19,383000000,Active,2017-07-11,5,161500200,California,1312
Technology,1,161000000,12,,Active,2022-01-13,1,161000100,California,1
Financials,3,40000000,23,,Active,2020-12-14,3,160926000,North Carolina,128
Consumer Non-Cyclicals,5,19936000,17,172798000,Active,2020-04-27,5,160431000,New York,480
Technology,2,20249000,0,,Active,2020-03-25,2,160249000,North Carolina,17
Technology,2,70000000,24,,Active,2015-07-08,8,675000200,California,2046
Consumer Cyclicals,3,30000000,16,,Active,2018-05-10,7,244999400,New York,1338
Healthcare,3,60000000,56,,Acquisition,2018-06-28,6,190511900,California,1310
Consumer Non-Cyclicals,1,160000000,0,,Active,2021-05-11,1,160000000,New York,28
Industrials,1,160000000,0,,Active,2021-06-15,1,160000200,California,160
Technology,3,0,0,,Active,2018-09-05,3,159000000,California,1
Financials,4,44425000,23,490000000,Active,2019-11-20,4,158851900,California,719
Consumer Cyclicals,1,158614000,0,,Active,2019-05-08,2,158614000,New Mexico,62
Healthcare,3,100000000,33,,Went Public,2021-01-28,3,158299900,Massachusetts,168
Consumer Non-Cyclicals,5,15290000,16,1160639000,Active,2018-03-14,5,158290100,California,1196
Technology,3,7000000,22,900000000,Went Public,2016-10-25,6,1008000000,Ohio,1663
Real Estate,6,30000000,17,,Active,2018-05-10,8,258000200,New York,1339
Technology,4,12367000,53,,Active,2018-06-15,4,157366900,California,707
Financials,2,79995000,36,,Went Public,2014-04-03,12,3523198500,Utah,970
Healthcare,1,157000000,0,,Active,2021-08-11,2,177000300,Massachusetts,44
Financials,3,1000000,11,,Active,2017-04-27,3,156000000,California,1583
Healthcare,2,47000000,62,,Active,2021-03-17,2,156000000,California,261
Healthcare,3,107500000,77,,Went Public,2020-05-20,3,155929600,Massachusetts,463
Financials,4,28000000,0,,Active,2014-10-09,5,229997000,California,781
Consumer Cyclicals,2,45000000,51,,Active,2019-04-04,4,409500200,California,957
Healthcare,4,53000000,13,,Went Public,2015-12-03,5,209800700,California,2038
Industrials,5,52500000,19,,Active,2018-07-24,7,507708800,New Jersey,1113
Healthcare,3,5000000,0,,Active,2019-02-07,4,153513000,Tennessee,460
Financials,4,33100000,20,,Went Public,2016-12-05,6,341240200,New York,1624
Healthcare,4,12000000,17,,Active,2019-05-29,5,153000000,New York,784
Technology,3,4500000,10,,Active,2020-10-26,3,153000100,California,399
Healthcare,2,92210000,35,,Active,2021-10-26,2,152209800,New York,87
Healthcare,2,62000000,0,,Active,2021-01-07,2,151118900,California,1
Technology,5,2400000,0,58450000,Acquisition,2014-05-15,6,152065800,New York,272
Industrials,2,75000000,44,,Active,2020-09-11,7,441980500,Massachusetts,419
Healthcare,3,0,12,,Went Public,2021-01-08,5,195749200,California,11
Healthcare,1,150450000,75,,Went Public,2020-04-07,1,150450000,New Jersey,477
Healthcare,4,50000000,37,,Pending Acquisition,2017-01-27,5,285305000,New Jersey,1503
Technology,1,150000000,34,,Active,2017-11-07,1,150000000,New York,52
Technology,2,0,0,1000000000,Active,2019-05-09,2,150000000,D. of Columbia,964
Technology,3,50000000,38,,Active,2020-03-11,5,574999500,California,664
Healthcare,1,150000000,36,,Active,2020-01-13,1,150000000,Massachusetts,497
Technology,1,150000000,19,,Active,2021-08-04,1,150000000,Minnesota,1
Consumer Cyclicals,1,150000000,45,,Active,2021-09-17,1,150000000,Florida,1
Healthcare,1,150000000,0,,Active,2021-12-15,1,150000000,Colorado,26
Consumer Cyclicals,4,55000000,29,,Acquisition,2017-06-22,5,149027900,New York,21
Healthcare,5,16399000,6,,Active,2017-04-14,5,148569000,Michigan,1
Healthcare,3,100973000,42,,Went Public,2018-06-25,3,148373200,Massachusetts,1115
Healthcare,2,35500000,0,,Active,2019-11-05,2,147500000,Washington,1
Technology,2,27000000,0,,Active,2016-11-29,4,929125000,California,751
Consumer Non-Cyclicals,2,22000000,0,,Active,2018-07-02,2,147000000,California,228
Healthcare,6,8700000,0,,Acquisition,2016-02-10,8,147748200,California,589
Real Estate,3,60000000,46,439098000,Acquisition,2018-10-24,4,545901900,New York,56
Healthcare,1,145205000,29,,Went Public,2020-04-08,5,213805300,Connecticut,678
Healthcare,4,8600000,17,,Active,2016-07-12,4,145095300,Massachusetts,1812
Industrials,4,30000000,0,,Went Public,2018-07-13,4,145000000,California,0
Healthcare,4,20000000,6,,Went Public,2018-08-16,5,145000000,California,1023
Technology,2,0,46,,Active,2020-11-11,2,145000000,California,1
Healthcare,3,21175000,0,,Active,2020-07-24,3,144791000,California,7
Consumer Cyclicals,2,32879000,0,,Active,2015-07-31,2,143879000,California,486
Technology,6,0,18,,Went Public,2013-07-04,9,440830400,California,848
Healthcare,2,41000000,19,897450000,Active,2021-08-05,2,143550000,New York,139
Healthcare,5,57560000,58,,Went Public,2017-11-08,6,153309900,California,826
Technology,2,40000000,22,897714000,Active,2020-10-21,3,163031200,California,246
Healthcare,1,142000000,0,,Active,2017-03-03,9,143903000,Utah,0
Healthcare,3,42600000,26,,Active,2021-02-08,3,142000000,California,50
Healthcare,2,50000000,11,,Went Public,2016-12-07,3,248000000,California,1081
Industrials,2,41868000,39,,Acquisition,2017-03-23,4,144998900,Colorado,720
Technology,4,5000000,2,735000000,Active,2020-02-05,4,141600000,California,679
Healthcare,2,25000000,20,,Active,2020-09-14,2,141600000,California,36
Healthcare,4,22000000,45,,Active,2018-10-09,5,159487500,Massachusetts,1171
Technology,4,8900000,0,,Active,2014-11-07,5,241400100,California,368
Healthcare,4,15000000,14,,Active,2019-04-17,4,141000000,New York,849
Financials,3,5500000,39,,Active,2015-04-07,6,228445500,New York,186
Technology,1,140000000,0,,Acquisition,2019-02-11,1,140000000,Maryland,2
Healthcare,2,50000000,21,,Active,2020-10-14,2,140000000,California,231
Healthcare,1,140000000,38,,Active,2021-03-16,2,139999800,Colorado,44
Healthcare,2,50000000,32,,Active,2019-10-29,2,139999900,Massachusetts,833
